mz,time,FS__blank11_pos,FS__blank15_pos,FS__blank7_pos,FS_CalCurve_blank2_pos,FS_CalCurve_blank3_pos,FS__BaldegerseeA_pos,FS__BaldegerseeB_pos,FS__Greifensee072A_pos,FS__Greifensee072B_pos,FS__Greifensee082A_pos,FS__Greifensee082B_pos,FS__Greifensee092A_pos,FS__Greifensee092B_pos,FS_CalCurve_AnaA_05_pos,FS_CalCurve_calmix_00005_pos,FS_CalCurve_calmix_0001_pos,FS_CalCurve_calmix_0005_pos,FS_CalCurve_calmix_001_pos,FS_CalCurve_calmix_005_pos,FS_CalCurve_calmix_00625_pos,FS_CalCurve_calmix_0125_pos,FS_CalCurve_calmix_025_pos,FS_CalCurve_CyanoA_05_pos,FS_CalCurve_MC_05_pos,FS_CalCuve_calmix_0025_pos
807.4314011,511.3518521,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,277339.7342,NA,123563.5521
807.440286,464.2658324,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1444246.299,NA,4940460.605,NA,NA,17911443.54,NA
807.4421518,857.6474453,NA,NA,NA,NA,NA,NA,926570.9888,NA,NA,NA,NA,1700987.245,1824498.923,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
807.4655689,1014.71794,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,451273.1246,646513.4136,NA,NA
807.4876541,373.8588695,NA,NA,NA,NA,NA,NA,NA,NA,NA,332138.7272,505728.2304,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
807.6120271,1041.158632,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,329234.5861,321213.7099,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
807.6354981,995.1907692,NA,NA,NA,NA,NA,374522.6802,NA,NA,NA,NA,116324.2198,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
808.3488315,404.2752043,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,214120.0062,NA,NA,1163080.45,NA
808.4437357,463.9994389,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2075125.423,NA,NA,7908696.686,363735.0411
808.4689762,1014.242458,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,141650.9313,222124.4703,NA,NA
808.5229199,1089.237262,NA,NA,NA,204824.3419,NA,NA,NA,440229.9298,NA,NA,NA,NA,NA,1300636.867,216137.2021,NA,NA,NA,NA,153184.3722,NA,207777.7686,NA,NA,NA
808.6787912,1067.168948,71679.225,112918.6255,NA,124054.7075,NA,6417999.742,8407362.997,3289114.891,4700536.042,7579433.507,NA,NA,NA,683751.5383,NA,NA,NA,NA,NA,NA,655059.9271,1440601.829,718413.9446,313444.6299,109677.4381
808.8747838,246.7733383,NA,NA,NA,NA,NA,NA,NA,1167950.758,492262.5426,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
809.3760335,246.89252,NA,NA,NA,NA,NA,NA,NA,NA,198713.5534,233455.404,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
809.4553933,332.0963882,NA,NA,NA,NA,NA,99406513.7,16942392.71,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
809.5091831,994.9548421,NA,NA,NA,NA,NA,NA,NA,964849.8898,NA,NA,219296.8665,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
809.6273007,1094.374608,NA,NA,NA,NA,NA,NA,NA,1067480.452,954801.906,1751797.499,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
809.6816883,1066.849731,NA,NA,NA,NA,NA,1707140.461,1565125.809,NA,779566.1143,1554582.621,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,297173.0521,NA,NA,NA
810.4592085,332.833164,NA,NA,NA,NA,NA,40068041.34,7627500.985,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
